DATETIME	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2023.01.02 07:00:00	1.07016	1.07017	1.06909	1.06967	340
2023.01.02 08:00:00	1.06971	1.06989	1.06754	1.06935	554
2023.01.02 09:00:00	1.06916	1.0692	1.06636	1.06791	883
2023.01.02 10:00:00	1.06791	1.0698	1.06713	1.06788	2164
2023.01.02 11:00:00	1.06789	1.07005	1.06769	1.06784	2189
2023.01.02 12:00:00	1.06788	1.06898	1.06749	1.06836	781
2023.01.02 13:00:00	1.06836	1.06866	1.06804	1.06846	602
2023.01.02 14:00:00	1.06845	1.06871	1.06783	1.0682	885
2023.01.02 15:00:00	1.06821	1.06863	1.06777	1.06788	956
2023.01.02 16:00:00	1.06787	1.06819	1.06703	1.06725	1103
2023.01.02 17:00:00	1.06724	1.0674	1.06585	1.06603	1669
2023.01.02 18:00:00	1.06602	1.06696	1.0651	1.06554	1510
2023.01.02 19:00:00	1.06549	1.06621	1.06544	1.06607	744
2023.01.02 20:00:00	1.06604	1.06611	1.06522	1.06526	703
2023.01.02 21:00:00	1.06525	1.06577	1.06499	1.06574	504
2023.01.02 22:00:00	1.06575	1.06685	1.06559	1.0667	646
2023.01.02 23:00:00	1.06651	1.06727	1.0658	1.06665	508
2023.01.03 00:00:00	1.06642	1.06652	1.06628	1.06648	213
2023.01.03 01:00:00	1.06655	1.0683	1.06493	1.06762	3072
2023.01.03 02:00:00	1.06762	1.06781	1.06665	1.06706	2527
2023.01.03 03:00:00	1.06705	1.06742	1.06503	1.06597	4863
2023.01.03 04:00:00	1.06596	1.06778	1.06575	1.06766	3829
2023.01.03 05:00:00	1.06765	1.06784	1.06687	1.06724	2859
2023.01.03 06:00:00	1.06724	1.06802	1.06668	1.0667	2028
2023.01.03 07:00:00	1.0667	1.06709	1.06588	1.06637	3327
2023.01.03 08:00:00	1.06637	1.06677	1.06516	1.06522	4216
2023.01.03 09:00:00	1.06523	1.06588	1.06198	1.06234	6989
2023.01.03 10:00:00	1.06234	1.06284	1.05505	1.0552	13028
2023.01.03 11:00:00	1.0552	1.05611	1.05339	1.05476	9896
2023.01.03 12:00:00	1.05479	1.05551	1.05252	1.05311	7183
2023.01.03 13:00:00	1.05312	1.0536	1.05196	1.05285	6122
2023.01.03 14:00:00	1.05284	1.05492	1.0524	1.05357	6214
2023.01.03 15:00:00	1.05356	1.057	1.05305	1.05604	8523
2023.01.03 16:00:00	1.05604	1.05974	1.05554	1.05743	10225
2023.01.03 17:00:00	1.05747	1.05822	1.05543	1.05555	11970
2023.01.03 18:00:00	1.05554	1.0559	1.05372	1.05581	9358
2023.01.03 19:00:00	1.05582	1.05593	1.05403	1.05461	5669
2023.01.03 20:00:00	1.05463	1.05609	1.05433	1.05567	4387
2023.01.03 21:00:00	1.05567	1.05686	1.05552	1.05665	5400
2023.01.03 22:00:00	1.05668	1.05689	1.05505	1.05516	5418
2023.01.03 23:00:00	1.05517	1.0554	1.05459	1.0547	1885
2023.01.04 00:00:00	1.05465	1.05471	1.05428	1.05462	3703
2023.01.04 01:00:00	1.05462	1.05539	1.05402	1.05455	3384
2023.01.04 02:00:00	1.05455	1.05612	1.05453	1.05579	2374
2023.01.04 03:00:00	1.05583	1.05691	1.05569	1.05667	2971
2023.01.04 04:00:00	1.05667	1.05694	1.05612	1.05646	2242
2023.01.04 05:00:00	1.0565	1.05698	1.05646	1.05686	1619
2023.01.04 06:00:00	1.05687	1.05743	1.05656	1.05729	1970
2023.01.04 07:00:00	1.05725	1.05784	1.05647	1.05693	3032
2023.01.04 08:00:00	1.05693	1.0575	1.05594	1.05701	2577
2023.01.04 09:00:00	1.05692	1.06058	1.0567	1.05937	7846
2023.01.04 10:00:00	1.05936	1.06354	1.05903	1.0616	12095
2023.01.04 11:00:00	1.06155	1.06301	1.06056	1.06109	7609
2023.01.04 12:00:00	1.06109	1.06229	1.06085	1.06207	5562
2023.01.04 13:00:00	1.06207	1.06244	1.06023	1.06045	4942
2023.01.04 14:00:00	1.06045	1.06112	1.05987	1.06071	5816
2023.01.04 15:00:00	1.06075	1.06197	1.05949	1.06105	7928
2023.01.04 16:00:00	1.06106	1.06286	1.06023	1.06243	9981
2023.01.04 17:00:00	1.06239	1.06251	1.05812	1.06034	15746
2023.01.04 18:00:00	1.06034	1.06208	1.05928	1.06191	9324
2023.01.04 19:00:00	1.06194	1.06201	1.06048	1.06074	5581
2023.01.04 20:00:00	1.06074	1.06129	1.05956	1.05991	4637
2023.01.04 21:00:00	1.05992	1.06068	1.05851	1.06056	11584
2023.01.04 22:00:00	1.06056	1.06103	1.06012	1.06035	6507
2023.01.04 23:00:00	1.06039	1.06082	1.0601	1.0603	1621
2023.01.05 00:00:00	1.06015	1.06091	1.05973	1.0605	1026
2023.01.05 01:00:00	1.06065	1.06112	1.06017	1.06061	1777
2023.01.05 02:00:00	1.06056	1.06311	1.0603	1.06289	3327
2023.01.05 03:00:00	1.06289	1.06315	1.06184	1.06204	3431
2023.01.05 04:00:00	1.06202	1.06202	1.06088	1.06174	3310
2023.01.05 05:00:00	1.06174	1.06196	1.06061	1.06069	2484
2023.01.05 06:00:00	1.06068	1.06114	1.06036	1.06043	2196
2023.01.05 07:00:00	1.06043	1.06106	1.06017	1.06106	2453
2023.01.05 08:00:00	1.06107	1.062	1.06028	1.06034	2767
2023.01.05 09:00:00	1.06027	1.06123	1.05902	1.06055	5644
2023.01.05 10:00:00	1.06055	1.06279	1.06051	1.06202	8517
2023.01.05 11:00:00	1.062	1.06291	1.06096	1.06235	5647
2023.01.05 12:00:00	1.06238	1.0626	1.061	1.06187	4977
2023.01.05 13:00:00	1.06188	1.06221	1.06031	1.06111	4401
2023.01.05 14:00:00	1.06111	1.06175	1.05982	1.05995	5003
2023.01.05 15:00:00	1.05995	1.06083	1.05514	1.05524	12493
2023.01.05 16:00:00	1.05524	1.05621	1.05358	1.05393	11756
2023.01.05 17:00:00	1.05393	1.05675	1.0515	1.05185	13031
2023.01.05 18:00:00	1.05185	1.0532	1.05173	1.05211	8313
2023.01.05 19:00:00	1.05211	1.05333	1.05187	1.05299	5702
2023.01.05 20:00:00	1.05299	1.05433	1.05292	1.0536	6368
2023.01.05 21:00:00	1.05362	1.05387	1.0529	1.05302	4868
2023.01.05 22:00:00	1.05301	1.05307	1.05201	1.05201	4825
2023.01.05 23:00:00	1.0521	1.05229	1.05152	1.05207	1907
2023.01.06 00:00:00	1.05205	1.05232	1.05178	1.05198	1390
2023.01.06 01:00:00	1.05203	1.05257	1.05185	1.05206	1491
2023.01.06 02:00:00	1.05209	1.05312	1.05189	1.0529	3148
2023.01.06 03:00:00	1.05292	1.05326	1.05225	1.0525	2343
2023.01.06 04:00:00	1.05251	1.05338	1.0525	1.05265	2019
2023.01.06 05:00:00	1.05266	1.05362	1.05259	1.05321	2734
2023.01.06 06:00:00	1.05317	1.05345	1.05242	1.05243	1173
2023.01.06 07:00:00	1.05244	1.05253	1.05106	1.05143	2651
2023.01.06 08:00:00	1.05148	1.05224	1.05104	1.05127	2657
2023.01.06 09:00:00	1.05124	1.05227	1.05072	1.05127	6653
2023.01.06 10:00:00	1.05128	1.0531	1.05112	1.05186	6122
2023.01.06 11:00:00	1.05185	1.05196	1.04968	1.05075	5796
2023.01.06 12:00:00	1.05075	1.05161	1.05032	1.05077	5040
2023.01.06 13:00:00	1.05077	1.05113	1.04924	1.04943	4396
2023.01.06 14:00:00	1.04947	1.04966	1.04832	1.04946	4832
2023.01.06 15:00:00	1.04947	1.0545	1.04865	1.05426	13943
2023.01.06 16:00:00	1.05426	1.05432	1.05011	1.05088	12486
2023.01.06 17:00:00	1.05355	1.06125	1.05242	1.06019	16930
2023.01.06 18:00:00	1.06018	1.06226	1.05967	1.06187	10129
2023.01.06 19:00:00	1.06187	1.06382	1.06166	1.06377	5812
2023.01.06 20:00:00	1.06378	1.06437	1.06295	1.06378	4344
2023.01.06 21:00:00	1.06378	1.06479	1.06378	1.06456	4284
2023.01.06 22:00:00	1.06456	1.06481	1.06427	1.06462	4243
2023.01.06 23:00:00	1.06461	1.06461	1.06418	1.06427	1398
2023.01.09 00:00:00	1.06394	1.06404	1.0636	1.06388	402
2023.01.09 01:00:00	1.06394	1.06628	1.06394	1.06623	2422
2023.01.09 02:00:00	1.06623	1.06675	1.06516	1.06612	2834
2023.01.09 03:00:00	1.06613	1.06719	1.06551	1.06667	3721
2023.01.09 04:00:00	1.06667	1.06777	1.06663	1.0677	3225
2023.01.09 05:00:00	1.06769	1.06769	1.06659	1.06675	2960
2023.01.09 06:00:00	1.06673	1.06784	1.06667	1.06766	1525
